DATE,CPI
1991-01-31,1.062
1991-02-28,1.048
1991-03-31,1.063
1991-04-30,1.635
1991-05-31,1.03
1991-06-30,1.012
1991-07-31,1.006
1991-08-31,1.005
1991-09-30,1.011
1991-10-31,1.035
1991-11-30,1.089
1991-12-31,1.121
1992-01-31,3.4530000000000003
1992-02-29,1.38
1992-03-31,1.2990000000000002
1992-04-30,1.217
1992-05-31,1.119
1992-06-30,1.1909999999999998
1992-07-31,1.1059999999999999
1992-08-31,1.0859999999999999
1992-09-30,1.115
1992-10-31,1.229
1992-11-30,1.261
1992-12-31,1.252
1993-01-31,1.258
1993-02-28,1.247
1993-03-31,1.2009999999999998
1993-04-30,1.187
1993-05-31,1.181
1993-06-30,1.199
1993-07-31,1.2239
1993-08-31,1.26
1993-09-30,1.23
1993-10-31,1.195
1993-11-30,1.1639
1993-12-31,1.125
1994-01-31,1.179
1994-02-28,1.1081999999999999
1994-03-31,1.0741
1994-04-30,1.0849
1994-05-31,1.0691
1994-06-30,1.06
1994-07-31,1.0533
1994-08-31,1.0462
1994-09-30,1.0796
1994-10-31,1.15
1994-11-30,1.1461
1994-12-31,1.1643999999999999
1995-01-31,1.1777
1995-02-28,1.1101999999999999
1995-03-31,1.0894
1995-04-30,1.0847
1995-05-31,1.0793000000000001
1995-06-30,1.0666
1995-07-31,1.0537999999999998
1995-08-31,1.0456
1995-09-30,1.0446
1995-10-31,1.0472
1995-11-30,1.0456
1995-12-31,1.032
1996-01-31,1.0411
1996-02-29,1.0279
1996-03-31,1.028
1996-04-30,1.0216
1996-05-31,1.016
1996-06-30,1.0117
1996-07-31,1.0072
1996-08-31,0.9979
1996-09-30,1.0033
1996-10-31,1.012
1996-11-30,1.0188
1996-12-31,1.0142
1997-01-31,1.0234
1997-02-28,1.0154
1997-03-31,1.0143
1997-04-30,1.0095999999999998
1997-05-31,1.0094
1997-06-30,1.011
1997-07-31,1.0093
1997-08-31,0.9986
1997-09-30,0.997
1997-10-31,1.0017
1997-11-30,1.0061
1997-12-31,1.0095999999999998
1998-01-31,1.0151000000000001
1998-02-28,1.0089
1998-03-31,1.0064
1998-04-30,1.0038
1998-05-31,1.005
1998-06-30,1.0008
1998-07-31,1.0017
1998-08-31,1.0367
1998-09-30,1.3843
1998-10-31,1.0454
1998-11-30,1.0567
1998-12-31,1.1161
1999-01-31,1.0837999999999999
1999-02-28,1.0413
1999-03-31,1.0279
1999-04-30,1.0303
1999-05-31,1.0222
1999-06-30,1.0191
1999-07-31,1.0282
1999-08-31,1.0116
1999-09-30,1.0148000000000001
1999-10-31,1.0137
1999-11-30,1.0123
1999-12-31,1.0126
2000-01-31,1.0232999999999999
2000-02-29,1.0104
2000-03-31,1.0064
2000-04-30,1.0089
2000-05-31,1.0175
2000-06-30,1.0255
2000-07-31,1.0179
2000-08-31,1.0098
2000-09-30,1.0131999999999999
2000-10-31,1.0211
2000-11-30,1.0151999999999999
2000-12-31,1.0164
2001-01-31,1.0276
2001-02-28,1.0228
2001-03-31,1.0186
2001-04-30,1.0179
2001-05-31,1.0178
2001-06-30,1.0162
2001-07-31,1.0045
2001-08-31,1.0001
2001-09-30,1.006
2001-10-31,1.0109000000000001
2001-11-30,1.0136
2001-12-31,1.016
2002-01-31,1.0309
2002-02-28,1.0116
2002-03-31,1.0108
2002-04-30,1.0116
2002-05-31,1.0169
2002-06-30,1.0053
2002-07-31,1.0072
2002-08-31,1.0009000000000001
2002-09-30,1.004
2002-10-31,1.0107
2002-11-30,1.0161
2002-12-31,1.0154
2003-01-31,1.024
2003-02-28,1.0163
2003-03-31,1.0105
2003-04-30,1.0102
2003-05-31,1.008
2003-06-30,1.008
2003-07-31,1.0070999999999999
2003-08-31,0.9959
2003-09-30,1.0034
2003-10-31,1.01
2003-11-30,1.0095999999999998
2003-12-31,1.011
2004-01-31,1.0175
2004-02-29,1.0099
2004-03-31,1.0075
2004-04-30,1.0099
2004-05-31,1.0073999999999999
2004-06-30,1.0078
2004-07-31,1.0092
2004-08-31,1.0042
2004-09-30,1.0043
2004-10-31,1.0114
2004-11-30,1.0110999999999999
2004-12-31,1.0114
2005-01-31,1.0262
2005-02-28,1.0123
2005-03-31,1.0134
2005-04-30,1.0112
2005-05-31,1.008
2005-06-30,1.0064
2005-07-31,1.0046
2005-08-31,0.9986
2005-09-30,1.0025
2005-10-31,1.0055
2005-11-30,1.0073999999999999
2005-12-31,1.0082
2006-01-31,1.0243
2006-02-28,1.0166
2006-03-31,1.0082
2006-04-30,1.0034999999999998
2006-05-31,1.0048000000000001
2006-06-30,1.0028
2006-07-31,1.0067
2006-08-31,1.0019
2006-09-30,1.0009000000000001
2006-10-31,1.0028
2006-11-30,1.0063
2006-12-31,1.0079
2007-01-31,1.0168000000000001
2007-02-28,1.0110999999999999
2007-03-31,1.0059
2007-04-30,1.0057
2007-05-31,1.0063
2007-06-30,1.0095
2007-07-31,1.0087000000000002
2007-08-31,1.0009000000000001
2007-09-30,1.0079
2007-10-31,1.0164
2007-11-30,1.0123
2007-12-31,1.0112999999999999
2008-01-31,1.0231000000000001
2008-02-29,1.012
2008-03-31,1.012
2008-04-30,1.0142
2008-05-31,1.0134999999999998
2008-06-30,1.0097
2008-07-31,1.0051
2008-08-31,1.0036
2008-09-30,1.008
2008-10-31,1.0090999999999999
2008-11-30,1.0083
2008-12-31,1.0069
2009-01-31,1.0237
2009-02-28,1.0165
2009-03-31,1.0131000000000001
2009-04-30,1.0069
2009-05-31,1.0057
2009-06-30,1.006
2009-07-31,1.0063
2009-08-31,1.0
2009-09-30,0.9997
2009-10-31,1.0
2009-11-30,1.0029000000000001
2009-12-31,1.0041
2010-01-31,1.0164
2010-02-28,1.0086
2010-03-31,1.0063
2010-04-30,1.0029000000000001
2010-05-31,1.005
2010-06-30,1.0039
2010-07-31,1.0036
2010-08-31,1.0055
2010-09-30,1.0084
2010-10-31,1.005
2010-11-30,1.0081
2010-12-31,1.0108
2011-01-31,1.0237
2011-02-28,1.0078
2011-03-31,1.0062
2011-04-30,1.0043
2011-05-31,1.0048000000000001
2011-06-30,1.0023
2011-07-31,0.9998999999999999
2011-08-31,0.9976
2011-09-30,0.9995999999999999
2011-10-31,1.0048000000000001
2011-11-30,1.0042
2011-12-31,1.0044
2012-01-31,1.005
2012-02-29,1.0037
2012-03-31,1.0058
2012-04-30,1.0031
2012-05-31,1.0051999999999999
2012-06-30,1.0089
2012-07-31,1.0123
2012-08-31,1.001
2012-09-30,1.0055
2012-10-31,1.0046
2012-11-30,1.0034
2012-12-31,1.0054
2013-01-31,1.0097
2013-02-28,1.0056
2013-03-31,1.0034
2013-04-30,1.0051
2013-05-31,1.0066
2013-06-30,1.0042
2013-07-31,1.0082
2013-08-31,1.0014
2013-09-30,1.0021
2013-10-31,1.0057
2013-11-30,1.0056
2013-12-31,1.0051
2014-01-31,1.0059
2014-02-28,1.0070000000000001
2014-03-31,1.0102
2014-04-30,1.0090000000000001
2014-05-31,1.0090000000000001
2014-06-30,1.0062
2014-07-31,1.0049
2014-08-31,1.0024
2014-09-30,1.0065
2014-10-31,1.0082
2014-11-30,1.0128
2014-12-31,1.0262
2015-01-31,1.0385
2015-02-28,1.0222
2015-03-31,1.0121
2015-04-30,1.0046
2015-05-31,1.0034999999999998
2015-06-30,1.0019
2015-07-31,1.008
2015-08-31,1.0034999999999998
2015-09-30,1.0057
2015-10-31,1.0073999999999999
2015-11-30,1.0075
2015-12-31,1.0077
2016-01-31,1.0095999999999998
2016-02-29,1.0063
2016-03-31,1.0046
2016-04-30,1.0044
2016-05-31,1.0041
2016-06-30,1.0036
2016-07-31,1.0054
2016-08-31,1.0001
2016-09-30,1.0017
2016-10-31,1.0043
2016-11-30,1.0044
2016-12-31,1.004
2017-01-31,1.0062
2017-02-28,1.0022
2017-03-31,1.0012999999999999
2017-04-30,1.0033
2017-05-31,1.0037
2017-06-30,1.0061
2017-07-31,1.0007
2017-08-31,0.9945999999999999
2017-09-30,0.9984999999999999
2017-10-31,1.002
2017-11-30,1.0022
2017-12-31,1.0042
2018-01-31,1.0031
2018-02-28,1.0021
